[2026-07-09T11:31:25.522Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → pending (?ms, ?B)
[2026-07-09T11:31:27.008Z] GET https://m.primal.net/HQwT.png → 302 (380ms, ?B)
[2026-07-09T11:31:27.042Z] GET https://image.nostr.build/54e038ebc87ebfa929b112b36400067037b047d832890203e7ee11c8468aaf31.jpg → 200 (441ms, 82479B)
[2026-07-09T11:31:27.388Z] GET https://primal.b-cdn.net/media-upload?u=https%3A%2F%2Fmedia.primal.net%2Fuploads%2Fc%2Fb2%2F2f%2Fcb22fb7ede6c5e868e14a96eaae9e0c57a11d6deda5c7e2616837a26514e9d0d.png → pending (?ms, ?B)
[2026-07-09T11:32:43.141Z] GET http://localhost:4870/ → 200 (1ms, 46320B)
[2026-07-09T11:32:43.146Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300..700;1,9..144,300..700&family=Yellowtail&family=Alegreya+Sans:ital,wght@0,300;0,400;0,500;0,700;1,400&display=swap → 200 (?ms, 16568B)
[2026-07-09T11:32:43.146Z] GET http://localhost:4870/assets/cover.jpg → 200 (?ms, 512242B)
[2026-07-09T11:32:43.146Z] GET http://localhost:4870/assets/avatar.jpg → 200 (?ms, 696804B)
[2026-07-09T11:32:43.148Z] GET http://localhost:4870/assets/blog.jpg → 200 (?ms, 40561B)
[2026-07-09T11:32:43.148Z] GET http://localhost:4870/assets/francis_sq.jpg → 200 (?ms, 78050B)
[2026-07-09T11:32:43.148Z] GET http://localhost:4870/assets/primal.png → 304 (4ms, ?B)
[2026-07-09T11:32:43.148Z] GET http://localhost:4870/assets/richard_sq.jpg → 200 (1ms, 56004B)
[2026-07-09T11:32:43.149Z] GET http://localhost:4870/assets/keyna_sq.jpg → 200 (?ms, 75039B)
[2026-07-09T11:32:43.149Z] GET http://localhost:4870/assets/estela_sq.jpg → 200 (?ms, 79174B)
[2026-07-09T11:32:43.149Z] GET http://localhost:4870/assets/lee_sq.jpg → 200 (?ms, 65916B)
[2026-07-09T11:32:43.149Z] POST https://cache1.primal.net/api/ → pending (?ms, ?B)
[2026-07-09T11:32:43.149Z] GET http://localhost:4870/assets/trailer_web.mp4 → 200 (3ms, ?B)
[2026-07-09T11:32:43.154Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUt9_-1phKLFgshYDvh6Vwt7V9dv21TpG1Lsw.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUz9_-1phKLFgshYDvh6Vwt7VptvWdUhm8.woff2 → 200 (?ms, ?B)
