[2026-07-09T12:32:11.594Z] GET https://www.google.com/recaptcha/enterprise.js?render=6LfCVLAUAAAAALFwwRnnCJ12DalriUGbj8FW_J39 → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/js/gtm.96d60fd6.js → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/js/retargeting-pixels.02346b5d.js → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/build/web-player/web-player.e7e6b2fd.js → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/build/web-player/vendor~web-player.5e0ac228.js → pending (?ms, ?B)
[2026-07-09T12:32:11.594Z] GET https://open.spotifycdn.com/cdn/build/web-player/encore~web-player.cb5d0654.js → pending (?ms, ?B)
[2026-07-09T12:32:11.976Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoDyljdc3L82L3Rh/recaptcha__en.js → pending (?ms, ?B)
[2026-07-09T12:32:13.609Z] POST https://o22381.ingest.sentry.io/api/114855/envelope/?sentry_version=7&sentry_key=de32132fc06e4b28965ecf25332c3a25&sentry_client=sentry.javascript.react%2F10.38.0 → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-page-error-template.5481174c.css → 200 (58ms, 195B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-page-error-template.f7ca7a49.js → 200 (59ms, 1594B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/4757.493da808.js → 200 (59ms, 11592B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/3219.bb0b5ceb.js → 200 (59ms, 14810B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/1960.3be249ed.js → 200 (59ms, 17370B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-search.f3a254a0.css → 200 (61ms, 16328B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-search.baf6d82e.js → 200 (74ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/625.65351388.js → 200 (74ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/4737.97b5d282.js → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/home-hpto.2ab8d54a.css → 200 (74ms, ?B)
